Supplier_GSTIN,Customer GSTIN,Invoice_Number,Invoice_Date,Tax Rate,Invoice Taxable,Invoice CGST,Invoice SGST,Invoice IGST,Invoice Total_GST,Invoice Total_Amount,Transaction_Type,Document_Type,Origin,Vendor,Ticket_Number,PNR,Ticket/PNR
09AABCI2726B1Z0,29ABCDE1234F5ZC,UP1232408AK42261,8/11/2023,5,3213,0,0,161,161,4495,Invoice,INV,LKO,Indigo,ZULPTT,ZULPTT,ZULPTT
07AABCI2726B1Z4,29ABCDE1234F5ZC,DL1232405AJ17295,5/8/2023,5,3211,0,0,161,161,3760,Invoice,INV,DEL,Indigo,NT4PPD,NT4PPD,NT4PPD
07AABCI2726B1Z4,29ABCDE1234F5ZC,DL1232405AI51133,5/5/2023,5,3925,0,0,197,197,4510,Invoice,INV,DEL,Indigo,QT8KVT,QT8KVT,QT8KVT
07AABCI2726B1Z4,29ABCDE1234F5ZC,DL1232409BS19597,9/16/2023,5,6416,0,0,320,320,7512,Invoice,INV,DEL,Indigo,IUSLXD,IUSLXD,IUSLXD
23AABCI2726B1ZA,29ABCDE1234F5ZC,MP1232410AJ40762,10/6/2023,5,3519,0,0,176,176,4728,Invoice,INV,BHO,Indigo,BMZZ4L,BMZZ4L,BMZZ4L
01AABCI2726B1ZG,29ABCDE1234F5ZC,JK1232409AE76068,9/13/2023,5,94,0,0,5,5,99,Invoice,INV,IXJ,Indigo,TVN6GA,TVN6GA,TVN6GA
07AABCI2726B1Z4,29ABCDE1234F5ZC,DL1232409BP49190,9/7/2023,5,3157,0,0,158,158,3703,Invoice,INV,DEL,Indigo,AZQFWK,AZQFWK,AZQFWK
07AABCI2726B1Z4,29ABCDE1234F5ZC,DL1232409BP67848,9/7/2023,5,3157,0,0,158,158,3703,Invoice,INV,DEL,Indigo,QV567A,QV567A,QV567A
07AABCI2726B1Z4,29ABCDE1234F5ZC,DL1232409BP64305,9/7/2023,5,3251,0,0,163,163,3802,Invoice,INV,DEL,Indigo,NV34FQ,NV34FQ,NV34FQ
07AABCI2726B1Z4,29ABCDE1234F5ZC,DL1232409BP84355,9/8/2023,5,3157,0,0,158,158,3703,Invoice,INV,DEL,Indigo,FN2DHY,FN2DHY,FN2DHY
07AABCI2726B1Z4,29ABCDE1234F5ZC,DL1232409BP31096,9/6/2023,5,6314,0,0,316,316,7406,Invoice,INV,DEL,Indigo,LW749F,LW749F,LW749F
07AABCI2726B1Z4,29ABCDE1234F5ZC,DL1232409BP72992,9/7/2023,5,3157,0,0,158,158,3703,Invoice,INV,DEL,Indigo,V2DDRX,V2DDRX,V2DDRX
01AABCI2726B1ZG,29ABCDE1234F5ZC,JK1232409AE55494,9/7/2023,5,3157,0,0,158,158,4348,Invoice,INV,IXJ,Indigo,TVN6GA,TVN6GA,TVN6GA
07AABCI2726B1Z4,29ABCDE1234F5ZC,DL1232409BQ99358,9/12/2023,5,190,0,0,9,9,199,Invoice,INV,DEL,Indigo,PU14PG,PU14PG,PU14PG
07AABCI2726B1Z4,29ABCDE1234F5ZC,DL1232409BR15012,9/13/2023,5,190,0,0,9,9,199,Invoice,INV,DEL,Indigo,AZQFWK,AZQFWK,AZQFWK
07AABCI2726B1Z4,29ABCDE1234F5ZC,DL1232409BQ84906,9/12/2023,5,190,0,0,9,9,199,Invoice,INV,DEL,Indigo,FN2DHY,FN2DHY,FN2DHY
07AABCI2726B1Z4,29ABCDE1234F5ZC,DL1232409BP66571,9/7/2023,5,3157,0,0,158,158,3703,Invoice,INV,DEL,Indigo,PU14PG,PU14PG,PU14PG
07AABCI2726B1Z4,29ABCDE1234F5ZC,DL1232409BP62057,9/7/2023,5,188,0,0,10,10,198,Invoice,INV,DEL,Indigo,LW749F,LW749F,LW749F
01AABCI2726B1ZG,29ABCDE1234F5ZC,JK1232409AE50695,9/6/2023,5,6314,0,0,316,316,8696,Invoice,INV,IXJ,Indigo,M2C24E,M2C24E,M2C24E
01AABCI2726B1ZG,29ABCDE1234F5ZC,JK1232409AE54874,9/7/2023,5,3157,0,0,158,158,4348,Invoice,INV,IXJ,Indigo,PQUL9M,PQUL9M,PQUL9M
30AABCI2726B1ZF,29ABCDE1234F5ZC,GA1232407AF40254,7/20/2023,5,3200,0,0,160,160,4103,Invoice,INV,GOI,Indigo,TKSNTR,TKSNTR,TKSNTR
29AABCI2726B1ZY,29ABCDE1234F5ZC,KA1232407AV51300,7/13/2023,5,3199,0,0,160,160,4126,Invoice,INV,BLR,Indigo,ZQ4M6P,ZQ4M6P,ZQ4M6P
29AABCI2726B1ZY,29ABCDE1234F5ZC,KA1232407AV43683,7/13/2023,5,3199,0,0,160,160,4126,Invoice,INV,BLR,Indigo,QWY8XV,QWY8XV,QWY8XV
37AABCI2726B1Z1,29ABCDE1234F5ZC,AD1232405AC09552,5/18/2023,5,3197,0,0,160,160,3954,Invoice,INV,VTZ,Indigo,E1SC5B,E1SC5B,E1SC5B
07AABCI2726B1Z4,29ABCDE1234F5ZC,DL1232408BJ67043,8/17/2023,5,3130,0,0,157,157,3675,Invoice,INV,DEL,Indigo,VPS1QS,VPS1QS,VPS1QS
24AALCA4699P1ZT,29ABCDE1234F5ZC,ISTV230900001634,9/5/2023,5,3211,0,0,161,161,4405,Invoice,INV,STV,Air Asia,Y1FP3S,Y1FP3S,Y1FP3S
08AABCI2726B1Z2,29ABCDE1234F5ZC,RJ1232405AB92188,5/11/2023,5,3729,94,94,0,187,4949,Invoice,INV,UDR,Indigo,PMEN4V,PMEN4V,PMEN4V
08AABCI2726B1Z2,29ABCDE1234F5ZC,RJ1232405AB61380,5/5/2023,5,3872,97,97,0,194,5099,Invoice,INV,UDR,Indigo,EMJ3GF,EMJ3GF,EMJ3GF
07AABCI2726B1Z4,29ABCDE1234F5ZC,DL1232408BH50462,8/10/2023,5,6310,0,0,316,316,7402,Invoice,INV,DEL,Indigo,ALGG6Y,ALGG6Y,ALGG6Y
07AABCI2726B1Z4,29ABCDE1234F5ZC,DL1232409BP47076,9/6/2023,5,3154,0,0,158,158,3700,Invoice,INV,DEL,Indigo,Z37CKH,Z37CKH,Z37CKH
07AABCI2726B1Z4,29ABCDE1234F5ZC,DL1232408BJ71015,8/17/2023,5,3154,0,0,158,158,3700,Invoice,INV,DEL,Indigo,YUGGJT,YUGGJT,YUGGJT
07AABCI2726B1Z4,29ABCDE1234F5ZC,DL1232408BM73958,8/28/2023,5,190,0,0,9,9,199,Invoice,INV,DEL,Indigo,YUGGJT,YUGGJT,YUGGJT
07AAECT8346F1Z6,29ABCDE1234F5ZC,I070000014446763,4/20/2023,5,3118,0,0,156,156,3663,Invoice,INV,DEL,Vistara,1189030577,TUXB9Q,1189030577
07AAECT8346F1Z6,29ABCDE1234F5ZC,I070000014446764,4/20/2023,5,3118,0,0,156,156,3663,Invoice,INV,DEL,Vistara,1189030578,TUXB9Q,1189030578
23AABCI2726B1ZA,29ABCDE1234F5ZC,MP1232404AA03444,4/1/2023,5,7438,0,0,372,372,8696,Invoice,INV,BHO,Indigo,V1ETYH,V1ETYH,V1ETYH
27AABCI2726B1Z2,29ABCDE1234F5ZC,MH1232407BH15427,7/18/2023,5,3148,0,0,157,157,3659,Invoice,INV,BOM,Indigo,IV17FN,IV17FN,IV17FN
23AABCI2726B1ZA,29ABCDE1234F5ZC,MP1232404AB12802,4/24/2023,5,3148,0,0,157,157,3748,Invoice,INV,BHO,Indigo,YPE9VC,YPE9VC,YPE9VC
07AABCI2726B1Z4,29ABCDE1234F5ZC,DL1232405AK92485,5/15/2023,5,3148,0,0,157,157,3693,Invoice,INV,DEL,Indigo,H16N4E,H16N4E,H16N4E
27AABCI2726B1Z2,29ABCDE1234F5ZC,MH1232407BH56898,7/19/2023,5,190,0,0,9,9,199,Invoice,INV,BOM,Indigo,O1SU9U,O1SU9U,O1SU9U
27AABCI2726B1Z2,29ABCDE1234F5ZC,MH1232407BH22656,7/18/2023,5,3148,0,0,157,157,3659,Invoice,INV,BOM,Indigo,O1SU9U,O1SU9U,O1SU9U
08AABCI2726B1Z2,29ABCDE1234F5ZC,RJ1232405AC63734,5/27/2023,5,2898,73,73,0,145,3043,Invoice,INV,JAI,Indigo,F1UHQE,F1UHQE,F1UHQE
08AABCI2726B1Z2,29ABCDE1234F5ZC,RJ1232405AC32203,5/20/2023,5,3146,79,79,0,157,4004,Invoice,INV,JAI,Indigo,F1UHQE,F1UHQE,F1UHQE
07AABCI2726B1Z4,29ABCDE1234F5ZC,DL1232409BT64779,9/21/2023,5,12580,0,0,628,628,14760,Invoice,INV,DEL,Indigo,LVE3UQ,LVE3UQ,LVE3UQ
07AABCI2726B1Z4,29ABCDE1234F5ZC,DL1232409BT96294,9/22/2023,5,3145,0,0,157,157,3690,Invoice,INV,DEL,Indigo,LU8Y7D,LU8Y7D,LU8Y7D
05AAECT8346F1ZA,29ABCDE1234F5ZC,I050000000203651,8/7/2023,5,3020,0,0,151,151,4204,Invoice,INV,DED,Vistara,1189030742,P79SU8,1189030742
03AABCI2726B1ZC,29ABCDE1234F5ZC,PB1232409AH75870,9/28/2023,5,94,0,0,5,5,99,Invoice,INV,IXC,Indigo,QRBZWP,QRBZWP,QRBZWP
03AABCI2726B1ZC,29ABCDE1234F5ZC,PB1232409AH70024,9/27/2023,5,3143,0,0,157,157,4392,Invoice,INV,IXC,Indigo,QRBZWP,QRBZWP,QRBZWP
27AABCI2726B1Z2,29ABCDE1234F5ZC,MH1232406AT01085,6/3/2023,5,3136,0,0,157,157,3647,Invoice,INV,BOM,Indigo,HUP95K,HUP95K,HUP95K
10AABCI2726B1ZH,29ABCDE1234F5ZC,BR1232408AF14846,8/17/2023,5,6266,0,0,314,314,7534,Invoice,INV,PAT,Indigo,GN426V,GN426V,GN426V
10AABCI2726B1ZH,29ABCDE1234F5ZC,BR1232408AF29265,8/21/2023,5,188,0,0,10,10,198,Invoice,INV,PAT,Indigo,GN426V,GN426V,GN426V
23AAECT8346F1ZC,,I230000000357112,9/10/2023,5,3096,0,0,156,156,3845,Invoice,INV,IDR,Vistara,9340901263,6I9NVH,9340901263
24AABCI2726B1Z8,,GJ1232407AK04864,7/19/2023,5,3074,0,0,154,154,4261,Invoice,INV,STV,Indigo,CR8WPJ,CR8WPJ,CR8WPJ
07AABCI2726B1Z4,,DL1232409BU06151,9/22/2023,5,3122,0,0,156,156,3666,Invoice,INV,DEL,Indigo,TUP25Q,TUP25Q,TUP25Q
24AABCI2726B1Z8,,GJ1232407AJ75369,7/16/2023,5,3105,0,0,155,155,3791,Invoice,INV,AMD,Indigo,D1DSUH,D1DSUH,D1DSUH
37AABCI2726B1Z1,,AD1232406AD78061,6/24/2023,5,3104,0,0,155,155,4197,Invoice,INV,TIR,Indigo,RPTSFP,RPTSFP,RPTSFP
37AABCI2726B1Z1,,AD1232406AD99216,6/29/2023,5,3104,0,0,155,155,4197,Invoice,INV,TIR,Indigo,HU79MA,HU79MA,HU79MA
10AABCI2726B1ZH,,BR1232408AF29976,8/21/2023,5,3098,0,0,155,155,3730,Invoice,INV,PAT,Indigo,KURLXQ,KURLXQ,KURLXQ
27AABCI2726B1Z2,,MH1232409CD30993,9/20/2023,5,9279,0,0,465,465,10806,Invoice,INV,BOM,Indigo,UTHD5G,UTHD5G,UTHD5G
27AACCR1459F1ZG,29ABCDE1234F5ZC,12724/0000342459,9/25/2023,5,3165,0,0,158,158,3677,Invoice,INV,BOM,Spicejet,LEV9WT,LEV9WT,LEV9WT
07AACCR1459F1ZI,29ABCDE1234F5ZC,40724/0000050072,8/29/2023,0,7914,0,0,0,0,8690,Invoice,BOS,DEL,Spicejet,XC47SP,XC47SP,XC47SP
27AABCI2726B1Z2,29ABCDE1234F5ZC,MH1232408BL99150,8/2/2023,5,6120,0,0,306,306,7812,Invoice,INV,PNQ,Indigo,O22TNH,O22TNH,O22TNH
27AABCI2726B1Z2,29ABCDE1234F5ZC,MH1232408BM38116,8/3/2023,5,188,0,0,10,10,198,Invoice,INV,PNQ,Indigo,O22TNH,O22TNH,O22TNH
07AABCI2726B1Z4,29ABCDE1234F5ZC,DL1232410CE09140,10/28/2023,5,3464,0,0,173,173,4025,Invoice,INV,DEL,Indigo,UQ4VSF,UQ4VSF,UQ4VSF
03AABCI2726B1ZC,29ABCDE1234F5ZC,PB1232410AI40912,10/11/2023,5,3931,0,0,197,197,4742,Invoice,INV,IXC,Indigo,KNBFFY,KNBFFY,KNBFFY
03AABCI2726B1ZC,29ABCDE1234F5ZC,PB1232409AH74439,9/28/2023,5,3050,0,0,153,153,4295,Invoice,INV,IXC,Indigo,JUL3QD,JUL3QD,JUL3QD
07AABCI2726B1Z4,29ABCDE1234F5ZC,DL1232409BT86379,9/22/2023,5,6100,0,0,306,306,7182,Invoice,INV,DEL,Indigo,DT8UKT,DT8UKT,DT8UKT
09AABCI2726B1Z0,29ABCDE1234F5ZC,UP1232409AM57168,9/6/2023,5,3050,0,0,153,153,3911,Invoice,INV,VNS,Indigo,EW32KF,EW32KF,EW32KF
07AABCI2726B1Z4,29ABCDE1234F5ZC,DL1232409BS51936,9/17/2023,5,188,0,0,10,10,198,Invoice,INV,DEL,Indigo,TM3BPB,TM3BPB,TM3BPB
07AABCI2726B1Z4,29ABCDE1234F5ZC,DL1232409BP91409,9/8/2023,5,3047,0,0,152,152,3587,Invoice,INV,DEL,Indigo,LV7TFA,LV7TFA,LV7TFA
07AABCI2726B1Z4,29ABCDE1234F5ZC,DL1232409BP95702,9/8/2023,5,3047,0,0,152,152,3587,Invoice,INV,DEL,Indigo,PW8CPI,PW8CPI,PW8CPI
07AABCI2726B1Z4,29ABCDE1234F5ZC,DL1232409BS02634,9/15/2023,5,6094,0,0,304,304,7174,Invoice,INV,DEL,Indigo,TM3BPB,TM3BPB,TM3BPB
08AAECT8346F7ZY,29ABCDE1234F5ZC,I080000000582756,7/17/2023,5,3011,76,76,0,152,4195,Invoice,INV,UDR,Vistara,1189030711,J8ERIE,1189030711
08AAECT8346F7ZY,29ABCDE1234F5ZC,I080000000582757,7/17/2023,5,3011,76,76,0,152,4195,Invoice,INV,UDR,Vistara,1189030712,J8ERIE,1189030712
07AAECT8346F1Z6,29ABCDE1234F5ZC,I070000015637791,8/4/2023,5,2909,0,0,146,146,3444,Invoice,INV,DEL,Vistara,1189030736,V289H7,1189030736
07AAECT8346F1Z6,29ABCDE1234F5ZC,I070000015637792,8/4/2023,5,2909,0,0,146,146,3444,Invoice,INV,DEL,Vistara,1189030737,V289H7,1189030737
24AABCI2726B1Z8,29ABCDE1234F5ZC,GJ1232407AK62404,7/24/2023,5,2973,0,0,149,149,4155,Invoice,INV,STV,Indigo,ZUMDKD,ZUMDKD,ZUMDKD
07AABCI2726B1Z4,29ABCDE1234F5ZC,DL1232406AU42009,6/20/2023,5,3020,0,0,151,151,3559,Invoice,INV,DEL,Indigo,PNWYNV,PNWYNV,PNWYNV
23AABCI2726B1ZA,29ABCDE1234F5ZC,MP1232407AF65817,7/28/2023,5,3020,0,0,151,151,4204,Invoice,INV,BHO,Indigo,BSYBTG,BSYBTG,BSYBTG
23AABCI2726B1ZA,29ABCDE1234F5ZC,MP1232407AF53462,7/25/2023,5,6040,0,0,302,302,8408,Invoice,INV,BHO,Indigo,TPBEHS,TPBEHS,TPBEHS
23AABCI2726B1ZA,29ABCDE1234F5ZC,MP1232407AF56691,7/26/2023,5,3020,0,0,151,151,4204,Invoice,INV,BHO,Indigo,JMIZUL,JMIZUL,JMIZUL
07AABCI2726B1Z4,29ABCDE1234F5ZC,DL1232407BD68009,7/27/2023,5,3020,0,0,151,151,3559,Invoice,INV,DEL,Indigo,HUM4RA,HUM4RA,HUM4RA
23AABCI2726B1ZA,29ABCDE1234F5ZC,MP1232407AE85259,7/11/2023,5,3020,0,0,151,151,4204,Invoice,INV,BHO,Indigo,YVGNMA,YVGNMA,YVGNMA
23AABCI2726B1ZA,29ABCDE1234F5ZC,MP1232407AF51606,7/25/2023,5,3020,0,0,151,151,4204,Invoice,INV,BHO,Indigo,KMNTHY,KMNTHY,KMNTHY
07AABCI2726B1Z4,29ABCDE1234F5ZC,DL1232406AU27796,6/20/2023,5,3020,0,0,151,151,3559,Invoice,INV,DEL,Indigo,CQZQ4J,CQZQ4J,CQZQ4J
23AABCI2726B1ZA,29ABCDE1234F5ZC,MP1232407AF54381,7/25/2023,5,3020,0,0,151,151,4204,Invoice,INV,BHO,Indigo,YNLKXL,YNLKXL,YNLKXL
23AABCI2726B1ZA,29ABCDE1234F5ZC,MP1232407AF62219,7/27/2023,5,94,0,0,5,5,99,Invoice,INV,BHO,Indigo,JMIZUL,JMIZUL,JMIZUL
07AABCI2726B1Z4,29ABCDE1234F5ZC,DL1232406AU70043,6/21/2023,5,571,0,0,29,29,600,Invoice,INV,DEL,Indigo,PNWYNV,PNWYNV,PNWYNV
07AABCI2726B1Z4,29ABCDE1234F5ZC,DL1232406AW49046,6/28/2023,5,3020,0,0,151,151,3559,Invoice,INV,DEL,Indigo,XS5STZ,XS5STZ,XS5STZ
24AABCI2726B1Z8,29ABCDE1234F5ZC,GJ1232404AA45564,4/6/2023,5,3589,0,0,180,180,4300,Invoice,INV,AMD,Indigo,GUZ25K,GUZ25K,GUZ25K
07AABCI2726B1Z4,29ABCDE1234F5ZC,DL1232408BJ22602,8/16/2023,,0,0,0,0,0,3338,Invoice,INV,DEL,Indigo,KSDFYJ,KSDFYJ,KSDFYJ
37AABCI2726B1Z1,29ABCDE1234F5ZC,AD1232407AE21392,7/4/2023,5,2928,0,0,146,146,4012,Invoice,INV,VGA,Indigo,M1T3XH,M1T3XH,M1T3XH
05AABCI2726B1Z8,29ABCDE1234F5ZC,UT1232408AC09413,8/4/2023,5,380,0,0,18,18,398,Invoice,INV,DED,Indigo,UN9DJY,UN9DJY,UN9DJY
05AABCI2726B1Z8,29ABCDE1234F5ZC,UT1232408AC07408,8/3/2023,5,6876,0,0,344,344,9286,Invoice,INV,DED,Indigo,UN9DJY,UN9DJY,UN9DJY
09AABCI2726B1Z0,29ABCDE1234F5ZC,UP1232409AN81296,9/20/2023,5,3532,0,0,177,177,4830,Invoice,INV,LKO,Indigo,U1BU5K,U1BU5K,U1BU5K
09AABCI2726B1Z0,29ABCDE1234F5ZC,UP1232409AO06643,9/23/2023,5,190,0,0,9,9,199,Invoice,INV,LKO,Indigo,U1BU5K,U1BU5K,U1BU5K
09AABCI2726B1Z0,29ABCDE1234F5ZC,UP1232409AO25969,9/26/2023,5,2961,0,0,148,148,4230,Invoice,INV,LKO,Indigo,JT5UHG,JT5UHG,JT5UHG
09AABCI2726B1Z0,29ABCDE1234F5ZC,UP1232404AC05819,4/29/2023,5,2951,0,0,148,148,3527,Invoice,INV,LKO,Indigo,DR5VUW,DR5VUW,DR5VUW
27AABCI2726B1Z2,29ABCDE1234F5ZC,MH1232410CN75362,10/21/2023,5,3262,0,0,163,163,3779,Invoice,INV,BOM,Indigo,GPKHSF,GPKHSF,GPKHSF
05AABCI2726B1Z8,29ABCDE1234F5ZC,UT1232406AB45405,6/27/2023,5,2851,0,0,143,143,4027,Invoice,INV,DED,Indigo,UZQM9X,UZQM9X,UZQM9X
05AABCI2726B1Z8,29ABCDE1234F5ZC,UT1232406AB44615,6/27/2023,5,11404,0,0,572,572,16108,Invoice,INV,DED,Indigo,JN73YI,JN73YI,JN73YI
24AABCI2726B1Z8,29ABCDE1234F5ZC,GJ1232406AH50957,6/23/2023,5,2934,0,0,147,147,3612,Invoice,INV,AMD,Indigo,BN4YVV,BN4YVV,BN4YVV
23AABCI2726B1ZA,29ABCDE1234F5ZC,MP1232409AH59094,9/2/2023,5,2928,0,0,146,146,3666,Invoice,INV,IDR,Indigo,T42EGR,T42EGR,T42EGR
07AACCR1459F1ZI,29ABCDE1234F5ZC,40724/0000038344,7/21/2023,0,8706,0,0,0,0,9870,Invoice,BOS,DEL,Spicejet,PG4ZXQ,PG4ZXQ,PG4ZXQ
24AABCI2726B1Z8,29ABCDE1234F5ZC,GJ1232404AA99906,4/12/2023,5,3493,0,0,175,175,4199,Invoice,INV,AMD,Indigo,GUQLMK,GUQLMK,GUQLMK
24AAECT8346F6Z5,29ABCDE1234F5ZC,I240000001136110,8/14/2023,5,2880,0,0,144,144,3555,Invoice,INV,AMD,Vistara,1189030753,VVBY8F,1189030753
24AAECT8346F6Z5,29ABCDE1234F5ZC,I240000001136109,8/14/2023,5,2880,0,0,144,144,3555,Invoice,INV,AMD,Vistara,1189030752,VVBY8F,1189030752
30AACCR1459F1ZT,29ABCDE1234F5ZC,13024/0000057747,8/23/2023,5,2904,0,0,145,145,3816,Invoice,INV,GOX,Spicejet,IGGFTN,IGGFTN,IGGFTN
07AABCI2726B1Z4,29ABCDE1234F5ZC,DL1232404AE61608,4/19/2023,5,2895,0,0,145,145,3428,Invoice,INV,DEL,Indigo,VNULSF,VNULSF,VNULSF
